target_date,origin_date,adjusted_mspe,raw_mspe,mspe_delta_raw_minus_adjusted,adjusted_qlike,raw_qlike,qlike_delta_raw_minus_adjusted
2025-08-04,2025-08-03,0.0009162552668413131,0.0010806586215428694,0.00016440335470155635,-313.06223230102745,-310.0411983965153,3.0210339045121373
2025-08-05,2025-08-04,0.0005061974632495725,0.0006241385774435502,0.00011794111419397772,-305.0999493685009,-302.74324943572464,2.35669993277628
2025-08-06,2025-08-05,0.0005262606563344939,0.0006584697605345022,0.00013220910420000832,-321.16185953184504,-317.5516716696446,3.610187862200462
2025-08-07,2025-08-06,0.0012482983775406618,0.0014072579522118915,0.00015895957467122962,-309.05960623420356,-305.3795904415448,3.6800157926587644
2025-08-08,2025-08-07,0.0007644631011669203,0.0008910099430225153,0.00012654684185559506,-314.0153098660564,-310.53772873060825,3.4775811354481334
2025-08-09,2025-08-08,0.0008542874405293693,0.0009728781531061812,0.00011859071257681192,-313.96617628752745,-311.49472959758793,2.471446689939512
2025-08-10,2025-08-09,0.0001642996192793579,0.00020703741281319701,4.273779353383911e-05,-308.24192519511536,-305.94664890599216,2.295276289123194
2025-08-11,2025-08-10,0.00013376911157184584,0.0001817455642542875,4.7976452682441665e-05,-319.89957439767574,-316.64793237369463,3.2516420239811055
2025-08-12,2025-08-11,0.00022982413098720933,0.0003008767284678423,7.105259748063297e-05,-317.85079024463226,-314.1675291111257,3.683261133506562
2025-08-13,2025-08-12,0.0003372600643829366,0.0004395681410110607,0.00010230807662812405,-307.59409597396905,-305.0610418352535,2.5330541387155563
2025-08-14,2025-08-13,0.001310932614403747,0.0012053889407674608,-0.00010554367363628612,-285.4503558225724,-283.37303599057526,2.0773198319971584
2025-08-15,2025-08-14,0.0004386900666677613,0.000552257441890597,0.00011356737522283573,-302.08826612930994,-305.5019720494515,-3.413705920141581
2025-08-16,2025-08-15,0.0011952816526248997,0.0014925894504690482,0.0002973077978441485,-324.91325704165325,-321.7231902192489,3.190066822404333
2025-08-17,2025-08-16,0.0012045861819048565,0.0014959700604183182,0.0002913838785134617,-327.3987984794942,-323.8171048406639,3.581693638830302
2025-08-18,2025-08-17,0.0004299246211712145,0.00038558888786434245,-4.433573330687204e-05,-309.8165656610181,-310.14453783716533,-0.3279721761472274
2025-08-19,2025-08-18,0.0003984657755738842,0.00035024434804873354,-4.822142752515068e-05,-317.6404282303023,-317.1677276705039,0.47270055979839753
2025-08-20,2025-08-19,0.0003170184733203356,0.00027861005753266,-3.8408415787675586e-05,-320.7237292317731,-319.22222388407255,1.5015053477005722
2025-08-21,2025-08-20,0.0003840540859118343,0.0005041252290100922,0.00012007114309825788,-302.87730918953275,-308.1251684151291,-5.247859225596358
2025-08-22,2025-08-21,0.0003452335411669923,0.00028882351380310326,-5.641002736388905e-05,-314.5009711828597,-313.01583232949594,1.4851388533637646
2025-08-23,2025-08-22,0.0004271531118938661,0.0006844272795890174,0.0002572741676951514,-319.67922428590396,-317.93570073893926,1.7435235469646955
2025-08-24,2025-08-23,0.00039889802374108046,0.0004185892167566568,1.9691193015576353e-05,-310.0815313683534,-310.2924049605385,-0.21087359218506663
2025-08-25,2025-08-24,0.00024377291242330725,0.00024085199506664038,-2.9209173566668726e-06,-313.0488466896004,-311.8601347984236,1.1887118911768084
2025-08-26,2025-08-25,0.000993112691179798,0.0012087755455444014,0.0002156628543646033,-299.4672948737649,-299.53811067582865,-0.07081580206374838
2025-08-27,2025-08-26,0.001483521994908511,0.001497945988265549,1.4423993357037855e-05,-307.02837077037606,-312.2548867739484,-5.226516003572328
2025-08-28,2025-08-27,0.008099024533431424,0.007973129579198088,-0.0001258949542333361,-218.53322243643507,-220.44176796292044,-1.9085455264853692
2025-08-29,2025-08-28,0.0018013629989312666,0.001369595618501467,-0.00043176738042979964,-280.48950765139006,-283.9581335562717,-3.4686259048816623
2025-08-30,2025-08-29,0.0008906043219162353,0.0011209807172295654,0.00023037639531333005,-320.84664832703754,-319.17815422853323,1.6684940985043113
2025-08-31,2025-08-30,0.0009419865212419669,0.0013854112416928504,0.0004434247204508835,-309.0222292755606,-304.335212319629,4.687016955931597
2025-09-01,2025-08-31,0.00025957686138069005,0.0003150989330677642,5.552207168707415e-05,-322.5311353634101,-319.87936987175135,2.6517654916587503
2025-09-02,2025-09-01,0.00021951412807072105,0.00039906863106320656,0.0001795545029924855,-316.62014149339683,-314.33716672123,2.282974772166824
2025-09-03,2025-09-02,0.0007094646876564,0.0010511924213365853,0.0003417277336801853,-326.3519099863484,-323.00898562691117,3.3429243594372338
2025-09-04,2025-09-03,0.0006957561974797445,0.0010224595628445196,0.000326703365364775,-332.5191796919675,-329.3179877728543,3.201191919113228
2025-09-05,2025-09-04,0.0004771509442731941,0.0007396152474999938,0.0002624643032267997,-328.133744748621,-324.6339092671802,3.4998354814408117
2025-09-06,2025-09-05,0.00097846326110094,0.0012701063643420958,0.0002916431032411557,-339.21434223270563,-336.1153603560735,3.0989818766321378
2025-09-07,2025-09-06,0.0009869737520173231,0.0013047060600601592,0.00031773230804283607,-338.9864678669767,-335.12857200469875,3.8578958622779282
2025-09-08,2025-09-07,0.0010041977977264377,0.0011989296242357092,0.00019473182650927147,-279.66528376389294,-279.33080184874336,0.33448191514958125
2025-09-09,2025-09-08,0.0003424625266222717,0.00043968113032146746,9.721860369919577e-05,-300.7920967308103,-301.31373930016525,-0.5216425693549809
2025-09-10,2025-09-09,0.0003563375169677641,0.0004756604736742087,0.00011932295670644464,-312.7292483399841,-311.04058690398944,1.6886614359946748
