ticker,n_obs_1m,n_obs_daily,mean_log_return_1m,std_log_return_1m,min_log_return_1m,max_log_return_1m,mean_log_return_1m_bps,std_log_return_1m_bps,min_log_return_1m_pct,max_log_return_1m_pct,mean_log_return_daily,std_log_return_daily,mean_log_return_daily_pct,std_log_return_daily_pct,ordinary_kurtosis_1m,excess_kurtosis_1m,log_ordinary_kurtosis_1m
ENS,568800,395,-2.3378426127255357e-06,0.0014255046060432793,-0.09123848043427074,0.09189274759103228,-0.023378426127255356,14.255046060432793,-9.123848043427074,9.189274759103228,-0.0033664933623247712,0.04326619798110292,-0.3366493362324771,4.326619798110292,132.96773170965523,129.96773170965523,4.890106480060673
LINK,568800,395,-9.004881852640154e-07,0.0013133791016497344,-0.04592451688710675,0.06505764618757404,-0.009004881852640154,13.133791016497344,-4.592451688710675,6.505764618757404,-0.0012967029867801821,0.041932235606037684,-0.12967029867801821,4.193223560603768,35.38986586938398,32.38986586938398,3.5664255042790955
CRO,568800,395,-2.4474927072096608e-08,0.00239994315864322,-0.08040042543803771,0.1512382583802232,-0.0002447492707209661,23.9994315864322,-8.040042543803771,15.12382583802232,-3.524389498381911e-05,0.04476617415987318,-0.0035243894983819114,4.476617415987318,67.58579188939062,64.58579188939062,4.213397781807159
HBAR,568800,395,-1.5158641185018975e-06,0.0022833973511808695,-0.05743204908587529,0.04580953603129423,-0.015158641185018976,22.833973511808694,-5.743204908587529,4.580953603129423,-0.0021828443306427326,0.042507747949120885,-0.21828443306427325,4.250774794912089,10.659216055626674,7.659216055626674,2.366424875285478
VANA,568800,395,-3.426106238702866e-06,0.0019240081498340122,-0.1378736164951171,0.40668984800405994,-0.03426106238702866,19.24008149834012,-13.787361649511709,40.668984800405994,-0.0049335929837321275,0.051826563083552865,-0.49335929837321274,5.182656308355287,3642.919913741123,3639.919913741123,8.200540813165802
SEI,568800,395,-2.734727406456803e-06,0.0023701682234777977,-0.07953315352238377,0.09309042306601167,-0.027347274064568033,23.701682234777977,-7.953315352238377,9.309042306601167,-0.003938007465297796,0.0468182472666967,-0.39380074652977964,4.68182472666967,17.46519755950347,14.46519755950347,2.860210189932778
STRAX,568800,395,-2.27201738788049e-06,0.002373529707928138,-0.11571563777303062,0.11846446668786292,-0.0227201738788049,23.73529707928138,-11.571563777303062,11.846446668786292,-0.0032717050385479055,0.04892201055951115,-0.3271705038547906,4.892201055951115,85.78410171350357,82.78410171350357,4.451833694610319
KNC,568800,395,-1.666959624626065e-06,0.0016149717255367023,-0.07378617005923171,0.09798040836020405,-0.016669596246260653,16.149717255367023,-7.3786170059231715,9.798040836020405,-0.002400421859461534,0.05251088900934714,-0.2400421859461534,5.251088900934714,173.32890488688736,170.32890488688736,5.155190973851493
ME,568800,395,-4.574461285885867e-06,0.0020241357071330455,-0.10996528204457423,0.062370330726458256,-0.04574461285885867,20.241357071330455,-10.996528204457423,6.237033072645826,-0.006587224251675648,0.04802474459084011,-0.6587224251675649,4.802474459084011,66.20337060021085,63.203370600210846,4.192731377057857
SHIB,568800,395,-1.451540723639283e-06,0.0031510034260875245,-0.03750439545845463,0.04367506350266215,-0.014515407236392832,31.510034260875244,-3.750439545845463,4.367506350266215,-0.0020902186420405674,0.03540479764342056,-0.20902186420405675,3.5404797643420562,6.198812385622349,3.1988123856223494,1.8243577229967936
CBK,568800,395,-1.5916521063369108e-06,0.0020895952574258967,-0.12780779246423712,0.11776943400786344,-0.015916521063369108,20.895952574258967,-12.780779246423712,11.776943400786344,-0.0022919790331251515,0.04487232559487098,-0.22919790331251516,4.487232559487098,109.3739962667322,106.3739962667322,4.694773167645793
AQT,568800,395,-1.7774009153167784e-06,0.0021906387015987886,-0.08230080267960194,0.06018413475648554,-0.017774009153167784,21.906387015987885,-8.230080267960194,6.018413475648554,-0.002559457318056161,0.04367004733444303,-0.2559457318056161,4.367004733444303,64.3588406376391,61.358840637639105,4.164474308252162
SAFE,568800,395,-2.992395330629895e-06,0.002172972744510724,-0.17759899783978117,0.24142559615165915,-0.029923953306298948,21.72972744510724,-17.759899783978117,24.142559615165915,-0.004309049276107048,0.04940586645209989,-0.4309049276107048,4.940586645209989,793.2479162496325,790.2479162496325,6.676135803607831
GLM,568800,395,-1.7365127909142025e-06,0.0017735324732898322,-0.09729891098679921,0.09365591970829801,-0.017365127909142027,17.735324732898324,-9.729891098679921,9.3655919708298,-0.0025005784189164517,0.03868026383289346,-0.25005784189164515,3.868026383289346,110.15536212760071,107.15536212760071,4.701891752295925
PEPE,568800,395,-1.479127449719937e-06,0.0025423818993380084,-0.09440968447107423,0.07502232759688354,-0.01479127449719937,25.423818993380085,-9.440968447107423,7.502232759688354,-0.002129943527596709,0.05602881880390038,-0.2129943527596709,5.602881880390038,15.762943594569812,12.762943594569812,2.7576618432944016
BONK,568800,395,-1.4532480083153264e-06,0.002463133368018765,-0.14911288579730142,0.12279557747992786,-0.014532480083153264,24.631333680187648,-14.911288579730142,12.279557747992786,-0.00209267713197407,0.06194539770206098,-0.209267713197407,6.194539770206098,49.63024098271206,46.63024098271206,3.9046003451731357
WAVES,568800,395,-2.2152585006270013e-06,0.0018080368029120078,-0.08405454455742589,0.1002660652682863,-0.022152585006270015,18.080368029120077,-8.40545445574259,10.02660652682863,-0.003189972240902882,0.03645529217337413,-0.3189972240902882,3.6455292173374128,117.58637439587507,114.58637439587507,4.767173164771123
MASK,568800,395,-2.9422793952947985e-06,0.0016406181204899296,-0.102242820225241,0.174129585879367,-0.029422793952947984,16.406181204899298,-10.2242820225241,17.4129585879367,-0.00423688232922451,0.05160171924553227,-0.42368823292245095,5.160171924553227,500.8449683517267,497.8449683517267,6.216296608789333
