cycle_days,rebalance_date,XRP,BTC,ETH,SOL,DOGE,AERGO,ADA,AUCTION,ONDO,SUI,VIRTUAL,ARDR,MOVE,AWE,XLM,AXS,SNT,QTUM,ANIME,PUNDIX,ARK,ENS,LINK,CRO,HBAR,VANA,SEI,STRAX,KNC,ME,SHIB,CBK,AQT,SAFE,GLM,PEPE,BONK,WAVES,MASK,ATH,TOKAMAK,CARV,MEW,MNT,PYTH,SONIC,GAS,AKT,BIGTIME,DRIFT
7,2025-05-10,3.469446951953614e-18,0.25,0.01755075942663948,3.469446951953614e-18,3.469446951953614e-18,0.0071981122676305605,3.469446951953614e-18,0.012746004088622177,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,0.015351409418385264,3.469446951953614e-18,0.015863776822082537,3.469446951953614e-18,3.469446951953614e-18,0.030972295229021046,3.469446951953614e-18,3.469446951953614e-18,0.00926893040569008,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,0.04712411003425538,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,0.024725024951857685,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,0.08469227928060494,0.004820057498091201,0.002030251150970162,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,0.06212945582949724,0.027765681100176604,3.469446951953614e-18,0.1321090635507326,3.469446951953614e-18,3.469446951953614e-18,0.24235030849257982,3.469446951953614e-18,3.469446951953614e-18,0.013302480453163207,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18
7,2025-05-17,0.06595969194579376,0.25,5.9414279052204854e-18,5.9414279052204854e-18,5.9414279052204854e-18,0.00032110654227945565,5.9414279052204854e-18,0.00834535688840649,5.9414279052204854e-18,5.9414279052204854e-18,5.9414279052204854e-18,0.02122723501068963,5.9414279052204854e-18,0.02158515004789396,5.9414279052204854e-18,5.9414279052204854e-18,0.031585348667019765,5.9414279052204854e-18,5.9414279052204854e-18,0.023674260907479143,5.9414279052204854e-18,5.9414279052204854e-18,5.9414279052204854e-18,0.0034474491340461535,5.9414279052204854e-18,5.9414279052204854e-18,5.9414279052204854e-18,0.030984859938573764,5.9414279052204854e-18,5.9414279052204854e-18,5.9414279052204854e-18,0.11887377758086931,0.040866454097729654,5.9414279052204854e-18,5.9414279052204854e-18,5.9414279052204854e-18,5.9414279052204854e-18,5.9414279052204854e-18,5.9414279052204854e-18,5.9414279052204854e-18,0.13485905789590746,5.9414279052204854e-18,5.9414279052204854e-18,0.24570854486767682,5.9414279052204854e-18,5.9414279052204854e-18,0.002561706475634624,5.9414279052204854e-18,5.9414279052204854e-18,5.9414279052204854e-18
7,2025-05-24,0.001096693474035131,0.25,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,0.04538696926290497,4.625929269271223e-18,0.022892467209814,4.625929269271223e-18,4.625929269271223e-18,0.005745214234779612,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,0.04841164795458654,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,0.046976859291284624,0.073468747166424,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,0.027528467978926063,4.625929269271223e-18,0.22849293342724508,4.625929269271223e-18,4.625929269271223e-18,0.25,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18
7,2025-05-31,0.006583029710251845,0.25,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,0.004329645500130052,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,0.025633648854006204,4.625929269271223e-18,0.00745101181017897,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,0.012960781417110646,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,0.022839598505065593,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,0.04471062535889176,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,0.21888920369433315,0.06084039271572904,0.018735551292795975,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,0.0013557060285120427,0.02869445688935441,4.625929269271223e-18,0.10514809341493246,4.625929269271223e-18,4.625929269271223e-18,0.19182825480870785,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18
7,2025-06-07,0.1485701962772542,0.25,5.637851296921468e-19,5.637851296921468e-19,5.637851296921468e-19,0.01018950267514568,5.637851296921468e-19,5.637851296921468e-19,5.637851296921468e-19,5.637851296921468e-19,5.637851296921468e-19,0.03891222139331456,5.637851296921468e-19,0.030486056343164415,5.637851296921468e-19,5.637851296921468e-19,0.014602277101005331,5.637851296921468e-19,5.637851296921468e-19,5.637851296921468e-19,5.637851296921468e-19,5.637851296921468e-19,5.637851296921468e-19,0.03862589062303196,5.637851296921468e-19,5.637851296921468e-19,5.637851296921468e-19,0.0389864498437739,5.637851296921468e-19,5.637851296921468e-19,5.637851296921468e-19,0.14599623522671,0.016698323925203463,5.637851296921468e-19,5.637851296921468e-19,5.637851296921468e-19,5.637851296921468e-19,0.013746583325576149,5.637851296921468e-19,5.637851296921468e-19,5.637851296921468e-19,5.637851296921468e-19,5.637851296921468e-19,0.25,5.637851296921468e-19,5.637851296921468e-19,0.003186263265820427,5.637851296921468e-19,5.637851296921468e-19,5.637851296921468e-19
7,2025-06-14,0.13835163016998495,0.25,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,0.07261813616893062,5.782411586588042e-19,0.02126256354526586,0.02801995120836139,5.782411586588042e-19,0.011079775457912479,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,0.03306078416909538,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,0.15097144708998983,0.014004261172889708,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,0.022403376601709966,0.00584750443309085,5.782411586588042e-19,0.004043785685503042,5.782411586588042e-19,5.782411586588042e-19,0.24833678429726608,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19
7,2025-06-21,0.1495083693909665,0.25,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,0.02295099237443367,5.782411586588042e-19,0.024726030051056305,0.007402050942389596,5.782411586588042e-19,0.015774115910295313,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,0.05714755234236884,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,0.053753731549734556,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,0.15779516315316158,0.02773547438378435,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,0.019640801651710702,5.782411586588042e-19,5.782411586588042e-19,0.05973484149349158,5.782411586588042e-19,5.782411586588042e-19,0.15383087675660698,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19,5.782411586588042e-19
7,2025-06-28,0.04484647416992104,0.25,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,0.006890705419148321,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,0.026092186139051184,1.734723475976807e-18,0.004238597724405694,0.09322449725152024,1.734723475976807e-18,0.01254273736424617,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,0.10783526323857455,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,0.026675699312932497,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,0.044134807983206674,0.0009429038009828275,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,0.051141620968966114,1.734723475976807e-18,1.734723475976807e-18,0.11337126219900963,1.734723475976807e-18,1.734723475976807e-18,0.2180632444280352,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18
7,2025-07-05,0.13580265468565725,0.25,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,0.00030449562395272424,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,0.07749174764107516,6.938893903907228e-18,0.014096740402610502,0.0549755845369774,6.938893903907228e-18,0.017242096787408116,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,0.14932751103797526,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,0.02386287168716152,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,0.026560968772089136,6.938893903907228e-18,0.004298288283600711,6.938893903907228e-18,6.938893903907228e-18,0.03975849266488135,6.938893903907228e-18,6.938893903907228e-18,0.03395894869168153,0.014796184837320604,6.938893903907228e-18,0.15752341434760875,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18
7,2025-07-12,5.7824115865892255e-18,0.25,0.11434464590070936,5.7824115865892255e-18,5.7824115865892255e-18,0.00984579812286364,5.7824115865892255e-18,5.7824115865892255e-18,5.7824115865892255e-18,5.7824115865892255e-18,5.7824115865892255e-18,0.13130733024842137,5.7824115865892255e-18,0.027808121787126636,5.7824115865892255e-18,5.7824115865892255e-18,0.02922175570708606,5.7824115865892255e-18,5.7824115865892255e-18,0.0010324105707776121,5.7824115865892255e-18,5.7824115865892255e-18,5.7824115865892255e-18,0.032884756451123015,5.7824115865892255e-18,5.7824115865892255e-18,5.7824115865892255e-18,0.05361442283192548,0.036389871015364436,5.7824115865892255e-18,5.7824115865892255e-18,0.005817258473704831,0.031841917968611036,5.7824115865892255e-18,0.06447016131662163,5.7824115865892255e-18,5.7824115865892255e-18,0.03186167446749223,5.7824115865892255e-18,5.7824115865892255e-18,0.05323178640685186,0.0360683645160363,5.7824115865892255e-18,0.0479788986037859,5.7824115865892255e-18,5.7824115865892255e-18,0.04228082561149861,5.7824115865892255e-18,5.7824115865892255e-18,5.7824115865892255e-18
7,2025-07-19,0.009376991448416505,0.25,0.0835297918193927,0.04278578675844055,4.510281037539541e-18,0.03699809279102355,4.510281037539541e-18,4.510281037539541e-18,4.510281037539541e-18,4.510281037539541e-18,4.510281037539541e-18,0.1099326208897957,4.510281037539541e-18,0.038509907309040414,4.510281037539541e-18,4.510281037539541e-18,0.04878798167035625,4.510281037539541e-18,4.510281037539541e-18,0.00046639998254668083,4.510281037539541e-18,4.510281037539541e-18,4.510281037539541e-18,0.022152235093956453,4.510281037539541e-18,4.510281037539541e-18,4.510281037539541e-18,0.11888749031307909,4.510281037539541e-18,4.510281037539541e-18,4.510281037539541e-18,0.02062657080357209,0.054738272502039484,0.02744693285085342,4.510281037539541e-18,4.510281037539541e-18,4.510281037539541e-18,0.04107185957287758,4.510281037539541e-18,4.510281037539541e-18,0.03184519138193839,0.03524160914905225,4.510281037539541e-18,4.510281037539541e-18,4.510281037539541e-18,4.510281037539541e-18,0.027602265663618935,4.510281037539541e-18,4.510281037539541e-18,4.510281037539541e-18
7,2025-07-26,3.469446951953614e-18,0.25,0.13781436001082026,3.469446951953614e-18,3.469446951953614e-18,0.00028496423603288114,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,0.04553394700212576,3.469446951953614e-18,0.052621185012939026,3.469446951953614e-18,3.469446951953614e-18,0.038436978638748134,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,0.014854203744123783,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,0.08774652741812883,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,0.021138058938966676,0.04672076250070786,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,0.03142484423246923,3.469446951953614e-18,3.469446951953614e-18,0.03973312236362685,0.012122461963508947,3.469446951953614e-18,0.2215685839378018,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18
7,2025-08-02,5.204170427930027e-18,0.25,0.1557692097585346,5.204170427930027e-18,5.204170427930027e-18,5.204170427930027e-18,5.204170427930027e-18,5.204170427930027e-18,5.204170427930027e-18,5.204170427930027e-18,5.204170427930027e-18,0.046191710693307575,5.204170427930027e-18,0.0546882123969814,5.204170427930027e-18,5.204170427930027e-18,0.0492432153393817,5.204170427930027e-18,5.204170427930027e-18,5.204170427930027e-18,5.204170427930027e-18,5.204170427930027e-18,5.204170427930027e-18,5.204170427930027e-18,5.204170427930027e-18,5.204170427930027e-18,5.204170427930027e-18,0.09738736224420386,5.204170427930027e-18,5.204170427930027e-18,5.204170427930027e-18,0.03173647048030021,0.05345310616347926,5.204170427930027e-18,5.204170427930027e-18,5.204170427930027e-18,5.204170427930027e-18,0.01459385462966885,5.204170427930027e-18,5.204170427930027e-18,0.020883709559439464,5.204170427930027e-18,5.204170427930027e-18,0.2260531487347031,5.204170427930027e-18,5.204170427930027e-18,5.204170427930027e-18,5.204170427930027e-18,5.204170427930027e-18,5.204170427930027e-18
7,2025-08-09,3.4694469519532198e-18,0.25,0.06937277956001847,3.4694469519532198e-18,3.4694469519532198e-18,0.0068482594119724585,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,0.06953419599209874,3.4694469519532198e-18,0.055161297393262566,3.4694469519532198e-18,3.4694469519532198e-18,0.0827282396343746,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,0.0013606558804337802,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,0.12220430171591169,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,0.03812367747432566,0.07290513332063187,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18,0.07490451952114831,3.4694469519532198e-18,3.4694469519532198e-18,0.0432719541699136,0.019640294422000364,3.4694469519532198e-18,0.06638186121817788,3.4694469519532198e-18,3.4694469519532198e-18,0.027562830285729988,3.4694469519532198e-18,3.4694469519532198e-18,3.4694469519532198e-18
